Designator,Footprint,Quantity,Value,LCSC Part #
"H3, H4, H5, H6",MountingHole_4_40,4,~,
J1,BarrelJack_Wuerth_6941xx301002,1,Barrel_Jack_Switch,
J24,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02,
