-196,241,5084.452272526
-185,229,5084.672751334
-107,219,5084.872936931
13,181,5084.979079422
-71,195,5085.070845228
-104,224,5085.333618719
24,278,5085.511800922
14,296,5085.931758072
19,305,5086.018741897
104,175,5086.317260933
94,160,5086.403932344
95,158,5086.487045278
94,156,5086.68129032
96,-20,5086.813753384
93,-4,5086.900169475
103,-108,5086.971535666
30,-75,5087.184818149
11,-90,5087.281702981
11,-90,5087.351448285
17,-191,5087.433539984
22,-302,5089.957085363
2,-213,5090.025943265
-7,-186,5090.095421451
-1,-98,5090.427197171
8,-91,5090.506600776
2,-76,5090.574430652
-75,-99,5090.874164867
-85,-77,5090.961515924
-57,-68,5091.083751213
-113,-118,5091.265088652
56,-131,5091.34979406
46,-108,5091.59317709
50,-111,5091.728721212
46,-108,5091.800574917
43,-105,5091.869114847
42,-109,5092.08852711
40,-103,5092.200990139
40,-101,5092.280599868
-77,-102,5092.355397461
-93,-112,5092.585522277
-70,-169,5092.681200661
-119,-270,5092.760897499
-3,-241,5092.825758158
22,-260,5093.047416635
38,-276,5093.146384958
78,-182,5094.685726477
47,-145,5094.790106373
49,-137,5094.905087688
11,-53,5095.091548743
22,-121,5095.84033978
18,-126,5095.944748068
76,-43,5096.265614719
75,-41,5097.069268379
202,18,5100.116409252
208,18,5100.198529451
207,20,5100.266539475
208,19,5100.368729085
197,20,5100.445202718
106,20,5100.531357203
115,20,5100.614241814
45,24,5100.688239174
11,21,5100.875259354
-49,23,5101.030098239
-49,24,5101.111886541
-49,24,5101.205923237
-49,24,5101.294982579
-49,24,5101.376918913
-49,24,5101.476201377
-134,25,5101.721389652
-133,24,5101.825688998
-133,24,5102.088506071
-133,24,5102.175100215
-132,23,5102.279229161
-132,23,5102.373439495
-132,23,5102.463693654
-51,25,5102.632683817
-161,130,5102.944143162
-228,287,5106.365118022
