185,-75,1455.789244516
181,78,1456.30762298
176,72,1456.523497796
50,63,1456.937052804
-6,50,1459.287245924
-27,29,1459.494004964
-20,62,1459.653853508
27,110,1459.835298116
-5,95,1460.041347044
-13,170,1460.796537476
-16,203,1461.035917124
-50,297,1461.390236356
-113,307,1463.5146273
-113,251,1463.675331844
-116,195,1463.858991812
-120,52,1464.052644772
-81,4,1464.2777841
-21,-134,1464.658122724
-22,-165,1464.822701604
-23,-202,1465.013478276
22,-131,1465.21084426
-29,-186,1465.431763684
-38,-235,1465.646519012
-38,-255,1465.947816548
-37,-295,1466.196706948
-22,-263,1467.216865476
-19,-188,1467.415331588
29,-20,1467.591069668
7,78,1468.340083908
-10,110,1468.509704708
24,131,1468.722416356
15,166,1469.021122052
8,169,1469.184611524
14,182,1469.427985252
1,204,1469.72086474
-17,239,1469.85737322
65,286,1469.988113636
-8,269,1470.221163524
-1,211,1470.459305252
-5,235,1470.622973124
-13,249,1470.760967908
-9,147,1471.050301476
-13,202,1471.22746026
-12,227,1471.474535972
-21,176,1471.708799012
-8,146,1472.03433802
-30,295,1473.604484452
-35,298,1473.866941764
-29,207,1474.036324228
-1,172,1474.537866596
7,198,1474.855407812
-4,208,1475.910768228
-26,191,1476.205282276
-55,130,1476.5398889
-55,-42,1476.79509322
-58,-89,1477.087813924
-3,-145,1477.264880324
33,-240,1477.762404004
