C10:1
C11:1
C12:1
C13:1
C14:1
C15:1
C21:1
C4:1
C5:1
C7:1
C8:1
C9:1
D5:1
D6:1
FB1:1
FB2:1
FB3:1
FB4:1
G***:12
H11:1
H12:1
H13:1
H14:1
H15:1
H16:1
J13:1
J14:1
J15:1
J16:1
J17:1
J18:1
J19:1
J20:1
J22:1
J23:1
J8:1
R10:1
R11:1
R12:1
R13:1
R14:1
R15:1
R16:1
R17:1
R18:1
R19:1
R20:1
R21:1
R22:1
R23:1
R24:1
R25:1
R26:1
R27:1
R28:1
R29:1
R30:1
R31:1
R32:1
R33:1
R34:1
R35:1
R5:1
R6:1
R7:1
R8:1
R9:1
TP15:1
TP16:1
TP17:1
TP18:1
TP19:1
TP20:1
TP21:1
TP22:1
TP23:1
TP24:1
TP25:1
TP26:1
TP27:1
TP28:1
TP29:1
TP30:1
TP31:1
TP32:1
TP33:1
TP34:1
TP35:1
TP36:1
TP37:1
TP38:1
TP39:1
TP40:1
TP41:1
TP42:1
TP43:1
TP44:1
TP45:1
U1:1
U2:1
U3:1
U4:1
